Grid reference,Location,Sample,Date,Time (h),Trimetoprim (ug/L),Oxytetracyclin (ug/L),Ofloxacin (ug/L),Norfloxacin (ug/L),Oseltamivir (ug/L),Ciprofloxacin (ug/L),Naphazoline (ug/L),Azithromycin (ug/L,Cefotaxime (ug/L),Doxycyclin (ug/L),Sulfamethoxazole (ug/L),Oxymetazoline (ug/L),Erythromycin (ug/L),Xylometazoline (ug/L),Clarithromycin (ug/L)
SU 62066 90520,Benson WWTP,Influent,11/11/2009,16:00,0.3533,0.0363,11.0333,0.0623,0.1767,-,2.5333,0.0753,-,1.2467,0.0363,0.1767,6.8667,-,0.2433
SU 62066 90520,Benson WWTP,Influent,11/11/2009,17:00,0.2867,0.0126,6.4667,0.0953,0.1533,-,1.18,0.0339,-,0,-,-,2.1333,-,0.0707
SU 62066 90520,Benson WWTP,Influent,11/11/2009,18:00,0.25,-,3.9333,-,2.0667,-,3.0667,0.094,-,0.9133,0.0173,0.103,1.5667,0.035,0.0483
SU 62066 90520,Benson WWTP,Influent,11/11/2009,19:00,0.151,-,1.2233,-,0.54,0.0277,2.1333,-,-,0.5633,0.0092,0.16,0.7567,0.0071,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,20:00,0.2167,0.0092,1.2167,0.0703,0.6367,0.014,2.2,0.032,-,0.6667,-,0.1133,-,0.0071,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,21:00,-,0.0092,0.0046,-,,0.035,1.1669,0.0197,0.0236,0,0.0057,0.0078,0.52,0.0088,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,22:00,0.32,0.0211,0.72,0.0923,1.1267,0.026,2.9333,0.043,-,0.5133,0.0099,-,0.4367,-,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,23:00,-,0.0092,0.0014,-,,0.0071,0.0007,0.0253,0.0247,0,-,0.0071,-,0.0085,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,00:00,0.68,0.0361,0.5433,-,0.3233,0.2267,2.2667,0.0339,0.0141,0,0.0111,0.084,0.47,-,0.0307
SU 62066 90520,Benson WWTP,Influent,11/11/2009,01:00,0.5,0.0092,-,0.0525,0.36,-,2.1,0.032,0.0042,0.39,0.0083,0.0396,-,0.0071,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,02:00,0.36,0.0205,0.5467,0.052,0.2767,0.0195,1.4333,0.0236,-,0.2376,0.0142,0.0042,-,-,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,03:00,0.4333,-,-,0.0693,0.2533,-,1.5,0.0339,-,0,0.0102,-,0.71,0.0071,0.025
SU 62066 90520,Benson WWTP,Influent,11/11/2009,04:00,0.2767,0.0092,-,0.0667,0.3133,-,1.1333,0.0286,-,0,0.0057,-,0.4267,-,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,05:00,0.5167,0.0092,0.107,0.0737,0.3033,0.01,1.3667,0.0657,-,0.4033,0.0057,-,-,-,0.012
SU 62066 90520,Benson WWTP,Influent,11/11/2009,06:00,0.3133,0.0141,-,-,0.2567,0.023,0.63,0.041,-,0,0.0057,0.0057,0.4233,0.0071,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,07:00,0.0653,0.4467,-,0.019,0.28,0.52,-,-,0.0198,0.0407,-,-,0.3,-,0.0427
SU 62066 90520,Benson WWTP,Influent,11/11/2009,08:00,0.1333,0.48,-,-,0.3267,0.6467,-,-,-,0.0497,0.4667,-,0.3167,-,0.03
SU 62066 90520,Benson WWTP,Influent,11/11/2009,09:00,0.1067,0.5567,-,0.0163,0.17,0.9167,-,-,0.0233,0.046,0.2033,-,0.4333,-,0.0267
SU 62066 90520,Benson WWTP,Influent,11/11/2009,10:00,0.0677,1.7,-,0.0163,0.1167,0.6533,-,-,-,0.0397,0.22,-,0.2967,-,0.0223
SU 62066 90520,Benson WWTP,Influent,11/11/2009,11:00,0.36,0.0145,-,-,,-,0.9633,0.0148,-,0.46,0.0153,-,0.2967,-,0.0833
SU 62066 90520,Benson WWTP,Influent,11/11/2009,12:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,13:00,0.78,0.016,-,0.0864,,0.0175,1.3,0.028,0.0141,0.81,0.016,0.0515,0.255,0.034,0.113
SU 62066 90520,Benson WWTP,Influent,11/11/2009,14:00,0.515,0.0106,2.0333,0.0605,0.1103,0.0223,1.55,0.0518,-,1.55,0.0088,0.0537,0.0141,-,-
SU 62066 90520,Benson WWTP,Influent,11/11/2009,15:00,0.2833,0.0092,-,-,,0.0267,1.8,0.041,-,0,0.0113,-,-,0.0071,0.0485
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,16:00,0.074,0.7067,0.0673,0.1633,0.2833,1.1,,,,0.0633,0.17,,0.95,,0.48
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,17:00,0.0703,1.0872,0.0808,0.1843,0.3501,1.0846,-,0.1628,-,0.06,0.1695,-,1.327,-,0.5241
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,18:00,0.0567,0.6967,0.0493,0.1367,0.2567,0.85,,,,0.0533,0.1467,,0.9467,,0.3867
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,19:00,0.071,1.0233,0.051,0.18,0.3833,1.1,,0.068,,0.048,0.1533,,1.1667,,0.6367
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,20:00,0.093,0.78,0.023,0.023,0.4,0.27,,0.063,,0.25,0.23,,1.4,,0.46
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,21:00,0.063,1.3333,0.0693,0.16,0.3267,1.3333,,,,0.049,0.1567,,0.8933,,0.3733
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,22:00,0.098,1.1,0.0777,0.2,0.3067,1.5333,,,,0.0547,0.1733,,0.88,,0.4367
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,23:00,0.074,1.02,0.055,0.19,0.3833,1.1333,-,0.077,-,0.0543,0.23,-,1.2333,-,0.3233
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,00:00,,1.3667,0.083,0.17,0.3633,1.2333,,,,0.0513,0.1667,,1.2333,,0.3333
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,01:00,0.0567,1.3,0.0933,0.2067,0.3667,1.1333,,,,0.0533,0.1267,,2.8333,,0.4667
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,02:00,0.071,1.3333,0.0773,0.2017,0.3933,1.0667,,,,0.046,0.23,,2.9333,,0.43
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,03:00,0.093,1.4333,0.1007,0.2667,0.36,0.9767,,0.145,,0.0807,0.1867,,1.7,,0.37
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,04:00,0.063,1.0567,0.098,0.26,0.3467,0.9767,,,,0.0517,0.1867,,1.01,,0.44
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,05:00,0.098,0.7867,0.1007,0.2267,0.31,1.2,,,,0.051,0.16,,0.9833,,0.4667
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,06:00,0.0907,1.2133,0.102,0.25,0.29,1.3333,,0.165,,0.0493,0.1567,,1.0667,,0.5767
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,07:00,0.067,0.9433,0.0967,0.2167,0.2833,1.4,,0.205,,0.0507,0.1533,,0.9767,,0.5
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,08:00,0.053,0.8433,0.072,0.2,0.3233,1.2,,0.27,,0.0477,0.1667,,0.83,,0.4367
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,09:00,0.065,0.9667,0.0743,0.28,0.3233,1.3667,,0.265,,0.0817,0.1733,,1.0333,,0.52
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,10:00,0.0573,1.4333,0.1267,0.2867,0.3433,1.3333,,0.28,,0.064,0.17,,0.9533,,0.5033
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,11:00,0.0597,1.3167,0.1467,0.34,0.3367,1.5,,0.31,,0.0743,0.1533,,0.9967,,0.4833
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,12:00,0.0603,1.3,0.081,0.0873,0.55,0.8433,,0.042,,0.0377,0.18,,1.4333,,0.61
SP 54333 02084,Oxford WWTP,Influent,11/11/2009,13:00,0.0677,1.0667,0.0743,0.0653,0.4267,0.7333,,,,0.0293,0.146,,1.9667,,0.96
